function,line,var,sdc
matvec,25,Ap,5.424213209438039
matvec,25,Ap,5.430878734690345
matvec,25,Ap,5.4307075240020914
matvec,25,Ap,5.513975014103204
matvec,25,Ap,5.779497505554999
matvec,25,Ap,6.696069110863754
matvec,25,Ap,5.1981067820766915
matvec,25,Ap,5.17164010821029
matvec,25,Ap,4.6604394199030015
matvec,25,Ap,5.233300186582963
matvec,25,Ap,5.243350425141374
matvec,25,Ap,5.050679237645465
matvec,25,Ap,5.393152005861346
matvec,25,Ap,4.988031295252308
matvec,25,Ap,5.468804765139054
matvec,25,Ap,5.327589240140385
matvec,25,Ap,4.759890881669494
matvec,25,Ap,5.554884989916548
matvec,25,Ap,5.42449317147933
matvec,25,Ap,4.076417297784683
matvec,25,Ap,5.416641817762547
matvec,25,Ap,5.957739420849919
matvec,25,Ap,5.552030338651316
matvec,25,Ap,5.025870596955468
matvec,25,Ap,4.207724039418315
matvec,25,Ap,4.981118316605328
matvec,25,Ap,5.101129071276311
matvec,25,Ap,5.212505071095381
matvec,25,Ap,5.408455937469683
matvec,25,Ap,5.683198341585882
matvec,25,Ap,4.590771955740312
matvec,25,Ap,5.560446333446417
matvec,25,Ap,5.4171235139545795
matvec,25,Ap,6.468541381867677
matvec,25,Ap,6.6831007505476805
matvec,25,Ap,6.679711281415695
matvec,25,Ap,5.929223806629241
matvec,25,Ap,6.726782070217525
matvec,25,Ap,3.3694610110297845
matvec,25,Ap,5.408440630130783
matvec,25,Ap,6.4758364825734445
matvec,25,Ap,4.386892398713711
matvec,25,Ap,4.8126295695524215
matvec,25,Ap,5.274207752119485
matvec,25,Ap,5.550578250836948
matvec,25,Ap,6.482019359422862
matvec,25,Ap,5.883299187580409
matvec,25,Ap,5.640231331436158
matvec,25,Ap,5.847280251747249
matvec,25,Ap,5.7728849589875635
matvec,25,Ap,3.0557070897489464
matvec,25,Ap,5.686176661486302
dot,57,sum,3.2118731169129506
dot,57,sum,4.2141432406723025
dot,57,sum,3.200408516187321
dot,57,sum,2.9998606831935564
dot,57,sum,3.461644509773106
dot,57,sum,3.60967726904455
dot,57,sum,3.5185601503036366
dot,57,sum,3.761145055901418
solve_cg,90,p_ap_dot,3.761145055901418
solve_cg,91,alpha,7.639149275921091
daxpby,40,y,7.519318680208276
daxpby,40,y,7.36584278991477
daxpby,40,y,6.998825565136742
daxpby,40,y,6.953026858764966
daxpby,40,y,7.5524908211893935
daxpby,40,y,7.568513853745044
daxpby,40,y,6.847559997332471
daxpby,40,y,7.213625248046005
daxpby,40,y,8.197346137130586
daxpby,40,y,7.8858642266598356
daxpby,40,y,7.940051273811084
daxpby,40,y,8.086231817731907
daxpby,40,y,7.920739569244253
daxpby,40,y,7.578241566563272
daxpby,40,y,7.4516221210889055
daxpby,40,y,7.977075710054735
solve_cg,82,oldrtrans,5.430245465966426
dot_r2,48,sum,7.5196590627727256
dot_r2,48,sum,7.822021240190618
dot_r2,48,sum,7.7671237847750145
dot_r2,48,sum,7.689043282476872
dot_r2,48,sum,6.38064808177469
dot_r2,48,sum,7.105870992545593
dot_r2,48,sum,6.151038201233545
dot_r2,48,sum,6.5284803201925685
solve_cg,83,rtrans,6.5284803201925685
solve_cg,84,beta,7.080941680633367
daxpby,40,y,8.107074117556072
daxpby,40,y,6.237386437828915
daxpby,40,y,7.707074987585306
daxpby,40,y,7.710816898394739
daxpby,40,y,6.995993185358503
daxpby,40,y,7.234289696097881
daxpby,40,y,7.529295608217923
daxpby,40,y,7.3774303403684725
solve_cg,87,normr,7.061750346675205
matvec,25,Ap,7.055710472812917
matvec,25,Ap,7.221367140988845
matvec,25,Ap,6.5482077108609165
matvec,25,Ap,6.806280050679497
matvec,25,Ap,5.331571827174514
matvec,25,Ap,6.0563037846001295
matvec,25,Ap,6.338576987203721
matvec,25,Ap,5.932038770907959
matvec,25,Ap,7.585220100271392
matvec,25,Ap,6.086702294987284
matvec,25,Ap,4.460136478629325
matvec,25,Ap,5.6956999670096256
matvec,25,Ap,6.460548530926158
matvec,25,Ap,6.2588069189115965
matvec,25,Ap,6.1553629195782555
matvec,25,Ap,6.110402476401737
matvec,25,Ap,8.310922293077036
matvec,25,Ap,6.766160901000736
matvec,25,Ap,5.641836500030898
matvec,25,Ap,6.005134063908027
matvec,25,Ap,6.032733266279425
matvec,25,Ap,6.995126358260467
matvec,25,Ap,5.1546111813973
matvec,25,Ap,6.086288092669187
matvec,25,Ap,7.022523408195692
matvec,25,Ap,6.886106279941983
matvec,25,Ap,6.62117292207202
matvec,25,Ap,6.142270879555729
matvec,25,Ap,6.179378228617616
matvec,25,Ap,6.16962515161045
matvec,25,Ap,6.111957896244045
matvec,25,Ap,5.964838146933136
matvec,25,Ap,7.517947942267916
matvec,25,Ap,6.807558781320921
matvec,25,Ap,6.151805481808579
matvec,25,Ap,6.061399200013834
matvec,25,Ap,5.556400812441418
matvec,25,Ap,5.69929004552927
matvec,25,Ap,6.081902798688261
matvec,25,Ap,5.52125697442566
matvec,25,Ap,7.167753594755677
matvec,25,Ap,7.364881063676733
matvec,25,Ap,6.598108126930361
matvec,25,Ap,6.682571920042697
matvec,25,Ap,6.427520033432433
matvec,25,Ap,5.08084353130813
matvec,25,Ap,5.745788466686572
matvec,25,Ap,5.687634706253401
matvec,25,Ap,7.989582208765911
matvec,25,Ap,6.992852916886987
matvec,25,Ap,5.070621308748742
matvec,25,Ap,5.899400913767617
matvec,25,Ap,6.018456293883881
matvec,25,Ap,6.2561647193441745
matvec,25,Ap,5.649253021009805
matvec,25,Ap,4.737028466926626
matvec,25,Ap,7.689122899005666
matvec,25,Ap,6.900350295872157
matvec,25,Ap,6.351885833529027
matvec,25,Ap,6.69039142507912
matvec,25,Ap,6.706559575640903
matvec,25,Ap,8.422165590378018
matvec,25,Ap,6.3527606976141495
matvec,25,Ap,5.994846529314577
dot,57,sum,7.453276632077582
dot,57,sum,6.746715259118017
dot,57,sum,6.049812526338809
dot,57,sum,6.139141543828582
dot,57,sum,4.866519373776211
dot,57,sum,5.012527230637553
dot,57,sum,4.456575462761525
dot,57,sum,5.144340730316485
solve_cg,90,p_ap_dot,5.144340730316485
solve_cg,91,alpha,8.119766076925126
daxpby,40,y,7.267474921265421
daxpby,40,y,7.026514599183681
daxpby,40,y,7.451024336066437
daxpby,40,y,5.380435627316175
daxpby,40,y,7.495419047399548
daxpby,40,y,7.4191568653439885
daxpby,40,y,7.59679685719282
daxpby,40,y,7.4634639828840985
daxpby,40,y,7.392145382409073
daxpby,40,y,7.0341608261312905
daxpby,40,y,7.424669506971439
daxpby,40,y,7.8929003795186965
daxpby,40,y,7.931223835159698
daxpby,40,y,7.878561426866795
daxpby,40,y,8.344559670536073
daxpby,40,y,7.499118281286503
solve_cg,82,oldrtrans,6.528480305727955
dot_r2,48,sum,7.607276245597031
dot_r2,48,sum,7.240806241045526
dot_r2,48,sum,8.07926101378728
dot_r2,48,sum,7.365294060478831
dot_r2,48,sum,7.093882856951253
dot_r2,48,sum,8.190944872177688
dot_r2,48,sum,7.926139146666674
dot_r2,48,sum,8.1178531500575
solve_cg,83,rtrans,8.1178531500575
solve_cg,84,beta,7.03877765725251
daxpby,40,y,7.7071444080295795
daxpby,40,y,7.5110573834699075
daxpby,40,y,7.5811904783744675
daxpby,40,y,7.125063978769016
daxpby,40,y,7.9393456598098044
daxpby,40,y,8.284014863151121
daxpby,40,y,8.078274590540826
daxpby,40,y,7.86189940654171
solve_cg,87,normr,8.068005501754662
matvec,25,Ap,5.967231168231999
matvec,25,Ap,6.934298996350996
matvec,25,Ap,7.058929747355832
matvec,25,Ap,6.136032443454386
matvec,25,Ap,6.898146003520634
matvec,25,Ap,7.06354900400008
matvec,25,Ap,6.491669539539344
matvec,25,Ap,6.798513389743496
matvec,25,Ap,6.99490514140962
matvec,25,Ap,7.055888845367583
matvec,25,Ap,6.839701384112193
matvec,25,Ap,7.101365435131883
matvec,25,Ap,7.710846783201154
matvec,25,Ap,7.473054680214016
matvec,25,Ap,7.2535831437957485
matvec,25,Ap,7.941672297670358
matvec,25,Ap,6.712670522069634
matvec,25,Ap,7.485363927127547
matvec,25,Ap,4.176816259143162
matvec,25,Ap,6.753639032179235
matvec,25,Ap,6.860870044957465
matvec,25,Ap,6.533338417405325
matvec,25,Ap,7.048462389195101
matvec,25,Ap,5.8806187082210934
matvec,25,Ap,7.248364548770759
matvec,25,Ap,7.0249225421336305
matvec,25,Ap,7.674927390423029
matvec,25,Ap,6.32487035251538
matvec,25,Ap,6.778458051724132
matvec,25,Ap,5.925076372156402
matvec,25,Ap,6.4371490020601785
matvec,25,Ap,5.771283736630499
matvec,25,Ap,6.3169394742861265
matvec,25,Ap,7.509433900512047
matvec,25,Ap,8.152861097884887
matvec,25,Ap,8.178235286559953
matvec,25,Ap,7.036708032887119
matvec,25,Ap,6.0987576826718675
matvec,25,Ap,7.046134015073623
matvec,25,Ap,6.812049302322015
matvec,25,Ap,7.3961947039950475
matvec,25,Ap,6.859304532125414
matvec,25,Ap,7.809687892278324
matvec,25,Ap,7.567777083390302
matvec,25,Ap,7.537164536088696
matvec,25,Ap,7.477286966422997
matvec,25,Ap,7.1768329389424625
matvec,25,Ap,7.377918164284175
matvec,25,Ap,7.5029628800960655
matvec,25,Ap,7.198932566078485
matvec,25,Ap,7.913220100229369
matvec,25,Ap,7.744242265432076
matvec,25,Ap,7.670372201328495
matvec,25,Ap,6.543493988695175
matvec,25,Ap,6.459101687399699
matvec,25,Ap,6.915595453060214
matvec,25,Ap,7.569645666574818
matvec,25,Ap,7.889007096556908
matvec,25,Ap,7.765555217886993
matvec,25,Ap,7.680738108182598
matvec,25,Ap,7.8239326921636625
matvec,25,Ap,7.958982174807942
matvec,25,Ap,7.7191398422887465
matvec,25,Ap,6.418718299948444
dot,57,sum,7.568763731350927
dot,57,sum,7.54561236236325
dot,57,sum,7.657723051655766
dot,57,sum,6.630698673993807
dot,57,sum,7.268535885536503
dot,57,sum,7.189766249561222
dot,57,sum,6.775142604175029
dot,57,sum,6.9698125623981975
solve_cg,90,p_ap_dot,6.9698125623981975
solve_cg,91,alpha,7.906632523775803
daxpby,40,y,7.019282632198234
daxpby,40,y,7.37367162431613
daxpby,40,y,7.291624167130547
daxpby,40,y,7.382419004226447
daxpby,40,y,7.587432255543469
daxpby,40,y,7.358297661401951
daxpby,40,y,6.327019476337824
daxpby,40,y,6.600803485893968
daxpby,40,y,7.8560996061594075
daxpby,40,y,8.101958512964702
daxpby,40,y,7.414537820727114
daxpby,40,y,8.095950051529277
daxpby,40,y,7.176964232795638
daxpby,40,y,8.022938866275192
daxpby,40,y,6.084879183524024
daxpby,40,y,8.191145225190335
solve_cg,82,oldrtrans,8.104064866914586
dot_r2,48,sum,8.036890554562607
dot_r2,48,sum,7.945975419048492
dot_r2,48,sum,7.992235840176834
dot_r2,48,sum,7.625197897565092
dot_r2,48,sum,7.5816613873575625
dot_r2,48,sum,7.885241710318541
dot_r2,48,sum,7.469813696722452
dot_r2,48,sum,7.668688212490982
solve_cg,83,rtrans,7.668688212490982
solve_cg,84,beta,8.11716284482005
daxpby,40,y,7.894004648926433
daxpby,40,y,7.252348019162199
daxpby,40,y,7.480313954625881
daxpby,40,y,7.332668485402334
daxpby,40,y,6.577779272546258
daxpby,40,y,7.107616133237805
daxpby,40,y,8.190997083721276
daxpby,40,y,6.403152472191305
solve_cg,87,normr,7.130600190219206
matvec,25,Ap,7.68564849062765
matvec,25,Ap,7.541363120079359
matvec,25,Ap,7.2890921795226955
matvec,25,Ap,7.893560224268356
matvec,25,Ap,7.810417521866626
matvec,25,Ap,7.9517680059981855
matvec,25,Ap,7.969213295426041
matvec,25,Ap,7.563572654881093
matvec,25,Ap,7.94568256504595
matvec,25,Ap,7.664972635994877
matvec,25,Ap,7.5959739717616195
matvec,25,Ap,7.442067636046861
matvec,25,Ap,5.66191156888702
matvec,25,Ap,7.707634218955991
matvec,25,Ap,7.836227314489742
matvec,25,Ap,7.881314707801025
matvec,25,Ap,7.5845407436459125
matvec,25,Ap,7.572164144705485
matvec,25,Ap,7.233441223478195
matvec,25,Ap,7.9613036042068765
matvec,25,Ap,6.964605493644178
matvec,25,Ap,7.818085284764187
matvec,25,Ap,7.517174783978029
matvec,25,Ap,8.135978442868378
matvec,25,Ap,7.556217171448916
matvec,25,Ap,7.095018998811064
matvec,25,Ap,7.858418320187067
matvec,25,Ap,7.804106239337669
matvec,25,Ap,6.960629559375105
matvec,25,Ap,7.647772899424386
matvec,25,Ap,7.193078786555192
matvec,25,Ap,8.02778559409329
matvec,25,Ap,7.883871480885806
matvec,25,Ap,7.957269393556157
matvec,25,Ap,6.943978663295819
matvec,25,Ap,7.316638965622859
matvec,25,Ap,7.912330760856609
matvec,25,Ap,8.293425587803611
matvec,25,Ap,8.02350786985647
matvec,25,Ap,7.589732030217972
matvec,25,Ap,7.255877844819401
matvec,25,Ap,7.464091141293179
matvec,25,Ap,7.917702770390493
matvec,25,Ap,8.014318404559898
matvec,25,Ap,7.6244207375248845
matvec,25,Ap,8.035641356020866
matvec,25,Ap,6.781418337017153
matvec,25,Ap,7.550831120444204
matvec,25,Ap,8.358359950089325
matvec,25,Ap,7.884339350459412
matvec,25,Ap,7.9337122954995
matvec,25,Ap,8.117953096905511
matvec,25,Ap,8.123893364946833
matvec,25,Ap,8.03541727752135
matvec,25,Ap,8.05479165231796
matvec,25,Ap,7.332631120876559
matvec,25,Ap,7.460558418568137
matvec,25,Ap,7.4633374077975105
matvec,25,Ap,7.8030765782769365
matvec,25,Ap,7.127484014872736
matvec,25,Ap,7.667693276095302
matvec,25,Ap,7.96485827644009
matvec,25,Ap,7.473847730687766
matvec,25,Ap,7.8319760265122715
dot,57,sum,7.695950462123414
dot,57,sum,7.603272799282116
dot,57,sum,7.851486510564501
dot,57,sum,7.843249526739397
dot,57,sum,8.237477232294365
dot,57,sum,7.813723492467467
dot,57,sum,8.006857389674028
dot,57,sum,7.91218380740501
solve_cg,90,p_ap_dot,7.91218380740501
solve_cg,91,alpha,7.964486102587993
daxpby,40,y,7.605695647765377
daxpby,40,y,7.555907249009698
daxpby,40,y,7.655876139825043
daxpby,40,y,7.679894314793851
daxpby,40,y,7.793129523503722
daxpby,40,y,7.276662319338409
daxpby,40,y,7.632779878634184
daxpby,40,y,7.249176323190508
daxpby,40,y,8.119956404428367
daxpby,40,y,8.058087067884841
daxpby,40,y,8.06734748253225
daxpby,40,y,8.111512426219525
daxpby,40,y,7.461785125409839
daxpby,40,y,7.528941984577299
daxpby,40,y,7.749903414811409
daxpby,40,y,8.14314802498612
